ix	I(Ix)	I(Iz)
1.000000000000000e-008	1.000000e-008	1.893705e-009
1.258925411794167e-008	1.258925e-008	1.652636e-009
1.584893192461114e-008	1.584893e-008	1.407994e-009
1.995262314968880e-008	1.995262e-008	1.170810e-009
2.511886431509581e-008	2.511886e-008	9.509949e-010
3.162277660168381e-008	3.162278e-008	7.554045e-010
3.981071705534974e-008	3.981072e-008	5.871359e-010
5.011872336272726e-008	5.011872e-008	4.460663e-010
6.309573444801936e-008	6.309573e-008	3.299823e-010
7.943282347242821e-008	7.943282e-008	2.356752e-010
1.000000000000001e-007	1.000000e-007	1.597107e-010
1.258925411794168e-007	1.258925e-007	9.886042e-011
1.584893192461115e-007	1.584893e-007	5.029144e-011
1.995262314968881e-007	1.995262e-007	1.161449e-011
2.511886431509582e-007	2.511887e-007	1.948444e-006
3.162277660168382e-007	3.162278e-007	3.165789e-006
3.981071705534977e-007	3.981072e-007	4.237532e-006
5.011872336272728e-007	5.011872e-007	5.292132e-006
6.309573444801939e-007	6.309573e-007	6.380296e-006
7.943282347242824e-007	7.943282e-007	7.532774e-006
1.000000000000001e-006	1.000000e-006	8.773338e-006
1.258925411794169e-006	1.258925e-006	1.012326e-005
1.584893192461116e-006	1.584893e-006	1.160334e-005
1.995262314968883e-006	1.995262e-006	1.323502e-005
2.511886431509584e-006	2.511886e-006	1.504113e-005
3.162277660168384e-006	3.162278e-006	1.704639e-005
3.981071705534979e-006	3.981072e-006	1.927790e-005
5.011872336272732e-006	5.011872e-006	2.176561e-005
6.309573444801944e-006	6.309574e-006	2.454275e-005
7.943282347242830e-006	7.943282e-006	2.764633e-005
1.000000000000002e-005	1.000000e-005	3.111766e-005
1.258925411794170e-005	1.258925e-005	3.500290e-005
1.584893192461117e-005	1.584893e-005	3.935375e-005
1.995262314968884e-005	1.995262e-005	4.422811e-005
2.511886431509586e-005	2.511886e-005	4.969094e-005
3.162277660168387e-005	3.162278e-005	5.581515e-005
3.981071705534982e-005	3.981072e-005	6.268269e-005
5.011872336272735e-005	5.011872e-005	7.038570e-005
6.309573444801948e-005	6.309574e-005	7.902798e-005
7.943282347242836e-005	7.943282e-005	8.872658e-005
1.000000000000003e-004	1.000000e-004	9.961372e-005
1.258925411794171e-004	1.258925e-004	1.118391e-004
1.584893192461118e-004	1.584893e-004	1.255727e-004
1.995262314968885e-004	1.995262e-004	1.410081e-004
2.511886431509587e-004	2.511886e-004	1.583665e-004
3.162277660168389e-004	3.162278e-004	1.779022e-004
3.981071705534984e-004	3.981072e-004	1.999089e-004
5.011872336272738e-004	5.011872e-004	2.247287e-004
6.309573444801953e-004	6.309574e-004	2.527629e-004
7.943282347242841e-004	7.943282e-004	2.844870e-004
1.000000000000003e-003	1.000000e-003	3.204711e-004
1.258925411794171e-003	1.258925e-003	3.614068e-004
1.584893192461119e-003	1.584893e-003	4.081454e-004
1.995262314968886e-003	1.995262e-003	4.617508e-004
2.511886431509589e-003	2.511886e-003	5.235744e-004
3.162277660168390e-003	3.162278e-003	5.953620e-004
3.981071705534986e-003	3.981072e-003	6.794099e-004
5.011872336272740e-003	5.011872e-003	7.787925e-004
6.309573444801955e-003	6.309574e-003	8.977033e-004
7.943282347242843e-003	7.943282e-003	1.041969e-003
1.000000000000000e-002	1.000000e-002	1.219842e-003
