iy	I(Iz)
1.000000000000000e-008	4.742088e-006
1.258925411794167e-008	4.769242e-006
1.584893192461114e-008	4.803208e-006
1.995262314968880e-008	4.845629e-006
2.511886431509581e-008	4.898512e-006
3.162277660168381e-008	4.964286e-006
3.981071705534974e-008	5.045871e-006
5.011872336272726e-008	5.146740e-006
6.309573444801936e-008	5.270982e-006
7.943282347242821e-008	5.423343e-006
1.000000000000001e-007	5.609269e-006
1.258925411794168e-007	5.834910e-006
1.584893192461115e-007	6.107122e-006
1.995262314968881e-007	6.433446e-006
2.511886431509582e-007	6.822083e-006
3.162277660168382e-007	7.281885e-006
3.981071705534977e-007	7.822365e-006
5.011872336272728e-007	8.453741e-006
6.309573444801939e-007	9.187029e-006
7.943282347242824e-007	1.003418e-005
1.000000000000001e-006	1.100824e-005
1.258925411794169e-006	1.212357e-005
1.584893192461116e-006	1.339609e-005
1.995262314968883e-006	1.484352e-005
2.511886431509584e-006	1.648569e-005
3.162277660168384e-006	1.834479e-005
3.981071705534979e-006	2.044579e-005
5.011872336272732e-006	2.281670e-005
6.309573444801944e-006	2.548905e-005
7.943282347242830e-006	2.849823e-005
1.000000000000002e-005	3.188406e-005
1.258925411794170e-005	3.569123e-005
1.584893192461117e-005	3.996997e-005
1.995262314968884e-005	4.477664e-005
2.511886431509586e-005	5.017448e-005
3.162277660168387e-005	5.623446e-005
3.981071705534982e-005	6.303615e-005
5.011872336272735e-005	7.066877e-005
6.309573444801948e-005	7.923230e-005
7.943282347242836e-005	8.883878e-005
1.000000000000003e-004	9.961372e-005
1.258925411794171e-004	1.116977e-004
1.584893192461118e-004	1.252480e-004
1.995262314968885e-004	1.404409e-004
2.511886431509587e-004	1.574734e-004
3.162277660168389e-004	1.765662e-004
3.981071705534984e-004	1.979658e-004
5.011872336272738e-004	2.219480e-004
6.309573444801953e-004	2.488205e-004
7.943282347242841e-004	2.789269e-004
1.000000000000003e-003	3.126500e-004
1.258925411794171e-003	3.504148e-004
1.584893192461119e-003	3.926914e-004
1.995262314968886e-003	4.399953e-004
2.511886431509589e-003	4.928848e-004
3.162277660168390e-003	5.519486e-004
3.981071705534986e-003	6.177793e-004
5.011872336272740e-003	6.909129e-004
6.309573444801955e-003	7.717056e-004
7.943282347242843e-003	8.600782e-004
1.000000000000000e-002	9.549837e-004
