ix	I(Iz)
1.000000000000000e-008	1.105109e-008
1.258925411794167e-008	1.041398e-008
1.584893192461114e-008	9.675992e-009
1.995262314968880e-008	8.842961e-009
2.511886431509581e-008	7.930284e-009
3.162277660168381e-008	6.967503e-009
3.981071705534974e-008	5.993608e-009
5.011872336272726e-008	5.052104e-009
6.309573444801936e-008	4.181495e-009
7.943282347242821e-008	3.407703e-009
1.000000000000001e-007	2.742259e-009
1.258925411794168e-007	2.184209e-009
1.584893192461115e-007	1.724659e-009
1.995262314968881e-007	1.350961e-009
2.511886431509582e-007	1.049629e-009
3.162277660168382e-007	8.079874e-010
3.981071705534977e-007	6.149058e-010
5.011872336272728e-007	4.609790e-010
6.309573444801939e-007	3.384482e-010
7.943282347242824e-007	2.410029e-010
1.000000000000001e-006	1.635569e-010
1.258925411794169e-006	1.020326e-010
1.584893192461116e-006	5.317297e-011
1.995262314968883e-006	1.438161e-011
2.511886431509584e-006	1.629233e-010
3.162277660168384e-006	1.124597e-009
3.981071705534979e-006	3.579869e-009
5.011872336272732e-006	8.643950e-009
6.309573444801944e-006	1.814683e-008
7.943282347242830e-006	3.506783e-008
1.000000000000002e-005	6.422872e-008
1.258925411794170e-005	1.133980e-007
1.584893192461117e-005	1.950486e-007
1.995262314968884e-005	3.291549e-007
2.511886431509586e-005	5.476394e-007
3.162277660168387e-005	9.014435e-007
3.981071705534982e-005	1.471768e-006
5.011872336272735e-005	2.387942e-006
6.309573444801948e-005	3.855837e-006
7.943282347242836e-005	6.203065e-006
1.000000000000003e-004	9.950882e-006
1.258925411794171e-004	1.592865e-005
1.584893192461118e-004	2.545608e-005
1.995262314968885e-004	4.063337e-005
2.511886431509587e-004	6.480302e-005
3.162277660168389e-004	1.032837e-004
3.981071705534984e-004	1.645323e-004
5.011872336272738e-004	2.619735e-004
6.309573444801953e-004	4.168428e-004
7.943282347242841e-004	6.625155e-004
1.000000000000003e-003	1.050852e-003
1.258925411794171e-003	1.660904e-003
1.584893192461119e-003	2.609456e-003
1.995262314968886e-003	4.060810e-003
2.511886431509589e-003	6.229800e-003
3.162277660168390e-003	9.369551e-003
3.981071705534986e-003	1.373928e-002
5.011872336272740e-003	1.956069e-002
6.309573444801955e-003	2.698488e-002
7.943282347242843e-003	3.608844e-002
1.000000000000000e-002	4.689785e-002
