time,Ix(U40:VDD)
0.00E+00,"	-5.344891e-011"
6.25E-12,"	7.161704e-008"
1.25E-11,"	9.550813e-008"
5.00E-11,"	9.551508e-008"
1.00E-10,"	9.552387e-008"
2.00E-10,"	9.554142e-008"
4.00E-10,"	9.557642e-008"
8.00E-10,"	9.564599e-008"
1.60E-09,"	9.578345e-008"
3.20E-09,"	9.605180e-008"
6.40E-09,"	9.656399e-008"
1.28E-08,"	9.750752e-008"
2.50E-08,"	9.914955e-008"
3.23E-08,"	9.459591e-008"
3.66E-08,"	-3.241893e-007"
3.93E-08,"	-2.007924e-006"
4.16E-08,"	-6.041941e-006"
4.37E-08,"	-1.310232e-005"
4.60E-08,"	-2.560086e-005"
4.81E-08,"	-4.226132e-005"
5.05E-08,"	-6.420071e-005"
5.26E-08,"	-8.436596e-005"
5.46E-08,"	-9.874537e-005"
5.66E-08,"	-1.085451e-004"
5.87E-08,"	-1.153220e-004"
6.11E-08,"	-1.192852e-004"
6.39E-08,"	-1.207313e-004"
6.65E-08,"	-1.209820e-004"
6.90E-08,"	-1.211156e-004"
7.17E-08,"	-1.212496e-004"
7.70E-08,"	-1.214713e-004"
8.55E-08,"	-1.217933e-004"
8.78E-08,"	-1.218729e-004"
9.23E-08,"	-1.220198e-004"
1.00E-07,"	-1.222864e-004"
1.01E-07,"	-1.225861e-004"
1.02E-07,"	-1.228162e-004"
1.04E-07,"	-1.228682e-004"
1.08E-07,"	-1.228653e-004"
5.00E-06,"	-1.228658e-004"
5.10E-06,"	-1.228787e-004"
5.10E-06,"	-1.228991e-004"
5.10E-06,"	-1.229196e-004"
5.10E-06,"	-1.229313e-004"
5.11E-06,"	-1.229336e-004"
5.12E-06,"	-1.229338e-004"
5.13E-06,"	-1.229357e-004"
5.14E-06,"	-1.228977e-004"
5.15E-06,"	-1.225673e-004"
5.15E-06,"	-1.220704e-004"
5.16E-06,"	-1.218938e-004"
5.16E-06,"	-1.218917e-004"
5.16E-06,"	-1.218904e-004"
5.17E-06,"	-1.218879e-004"
5.18E-06,"	-1.218833e-004"
5.19E-06,"	-1.218819e-004"
5.19E-06,"	-1.218814e-004"
5.19E-06,"	-1.218810e-004"
5.19E-06,"	-1.218805e-004"
5.19E-06,"	-1.218800e-004"
5.19E-06,"	-1.218796e-004"
5.20E-06,"	-1.218792e-004"
5.20E-06,"	-1.218788e-004"
5.20E-06,"	-1.218781e-004"
5.20E-06,"	-1.218690e-004"
5.20E-06,"	-1.218643e-004"
5.20E-06,"	-1.218642e-004"
5.20E-06,"	-1.218640e-004"
5.21E-06,"	-1.218638e-004"
1.00E-05,"	-1.218638e-004"
1.00E-05,"	-1.218547e-004"
1.00E-05,"	-1.218502e-004"
1.00E-05,"	-1.218505e-004"
1.00E-05,"	-1.218514e-004"
1.00E-05,"	-1.218536e-004"
1.00E-05,"	-1.218569e-004"
1.00E-05,"	-1.218613e-004"
1.00E-05,"	-1.218677e-004"
1.00E-05,"	-1.221104e-004"
1.01E-05,"	-1.226647e-004"
1.01E-05,"	-1.227941e-004"
1.01E-05,"	-1.227654e-004"
1.01E-05,"	-1.227711e-004"
1.01E-05,"	-1.227752e-004"
1.01E-05,"	-1.227848e-004"
1.01E-05,"	-1.227909e-004"
1.01E-05,"	-1.227990e-004"
1.01E-05,"	-1.228589e-004"
1.01E-05,"	-1.229140e-004"
1.01E-05,"	-1.229386e-004"
1.01E-05,"	-1.229421e-004"
1.01E-05,"	-1.229428e-004"
1.01E-05,"	-1.229460e-004"
1.01E-05,"	-1.229398e-004"
1.01E-05,"	-1.223773e-004"
1.02E-05,"	-1.214429e-004"
1.02E-05,"	-1.209292e-004"
1.02E-05,"	-1.208679e-004"
1.02E-05,"	-1.208648e-004"
1.02E-05,"	-1.208617e-004"
1.02E-05,"	-1.208579e-004"
1.02E-05,"	-1.208531e-004"
1.02E-05,"	-1.208451e-004"
1.02E-05,"	-1.208433e-004"
1.02E-05,"	-1.208398e-004"
1.02E-05,"	-1.208348e-004"
1.02E-05,"	-1.208254e-004"
1.02E-05,"	-1.208205e-004"
1.02E-05,"	-1.208200e-004"
1.02E-05,"	-1.208198e-004"
1.51E-05,"	-1.208197e-004"
1.51E-05,"	-1.208469e-004"
1.51E-05,"	-1.208725e-004"
1.51E-05,"	-1.208849e-004"
1.51E-05,"	-1.208867e-004"
1.51E-05,"	-1.208859e-004"
1.51E-05,"	-1.208856e-004"
1.51E-05,"	-1.208696e-004"
1.51E-05,"	-1.205463e-004"
1.52E-05,"	-1.200404e-004"
1.52E-05,"	-1.198416e-004"
1.52E-05,"	-1.198386e-004"
1.52E-05,"	-1.198379e-004"
1.52E-05,"	-1.198365e-004"
1.52E-05,"	-1.198341e-004"
1.52E-05,"	-1.198318e-004"
1.52E-05,"	-1.198226e-004"
1.52E-05,"	-1.198180e-004"
1.52E-05,"	-1.198179e-004"
1.52E-05,"	-1.198178e-004"
2.00E-05,"	-1.198178e-004"
2.00E-05,"	-1.197996e-004"
2.00E-05,"	-1.197906e-004"
2.00E-05,"	-1.197912e-004"
2.00E-05,"	-1.197929e-004"
2.00E-05,"	-1.197970e-004"
2.00E-05,"	-1.198038e-004"
2.00E-05,"	-1.198135e-004"
2.00E-05,"	-1.204315e-004"
2.01E-05,"	-1.219192e-004"
2.01E-05,"	-1.226989e-004"
2.01E-05,"	-1.226751e-004"
2.01E-05,"	-1.226264e-004"
2.01E-05,"	-1.226775e-004"
2.01E-05,"	-1.226698e-004"
2.01E-05,"	-1.226811e-004"
2.01E-05,"	-1.226921e-004"
2.01E-05,"	-1.227057e-004"
2.01E-05,"	-1.227268e-004"
2.01E-05,"	-1.228252e-004"
2.01E-05,"	-1.229124e-004"
2.01E-05,"	-1.229457e-004"
2.01E-05,"	-1.229482e-004"
2.01E-05,"	-1.229490e-004"
2.01E-05,"	-1.229529e-004"
2.01E-05,"	-1.228533e-004"
2.01E-05,"	-1.217887e-004"
2.02E-05,"	-1.199656e-004"
2.02E-05,"	-1.189811e-004"
2.02E-05,"	-1.188384e-004"
