v1	Ix(U1:DRAIN)	Ix(U4:DRAIN)	Ix(U5:DRAIN)	Ix(U7:DRAIN)	Ix(U10:DRAIN)	Ix(U15:DRAIN)	Ix(U18:DRAIN)	Ix(U21:DRAIN)
0.000000000000000e+000	7.683106e-012	7.676476e-012	7.676476e-012	7.684552e-012	7.684970e-012	7.685548e-012	7.687906e-012	7.698528e-012
1.000000000000000e-001	7.818695e-012	7.779210e-012	7.779210e-012	7.836355e-012	7.852558e-012	7.885256e-012	7.968833e-012	8.183094e-012
2.000000000000000e-001	8.121111e-012	7.980428e-012	7.980428e-012	8.263367e-012	8.517381e-012	9.066520e-012	1.027889e-011	1.291568e-011
3.000000000000000e-001	9.481121e-012	8.667522e-012	8.667522e-012	1.095937e-011	1.402030e-011	2.050062e-011	3.421684e-011	6.316465e-011
4.000000000000000e-001	2.318968e-011	1.504570e-011	1.504570e-011	3.990668e-011	7.504453e-011	1.491549e-010	3.055303e-010	6.354839e-010
5.000000000000000e-001	1.824828e-010	8.850193e-011	8.850193e-011	3.787137e-010	7.927192e-010	1.668038e-009	3.518833e-009	7.428010e-009
6.000000000000000e-001	1.838662e-009	8.465522e-010	8.465522e-010	3.913506e-009	8.291699e-009	1.752322e-008	3.688926e-008	7.718027e-008
7.000000000000000e-001	1.134652e-008	5.193613e-009	5.193613e-009	2.414679e-008	5.086731e-008	1.062342e-007	2.198543e-007	4.510931e-007
7.999999999999999e-001	3.800167e-008	1.745901e-008	1.745901e-008	8.020977e-008	1.669366e-007	3.438822e-007	7.025135e-007	1.425364e-006
8.999999999999999e-001	8.716249e-008	4.036489e-008	4.036489e-008	1.822275e-007	3.755590e-007	7.669131e-007	1.555076e-006	3.133621e-006
9.999999999999999e-001	1.608883e-007	7.519408e-008	7.519408e-008	3.337010e-007	6.830942e-007	1.386988e-006	2.797826e-006	5.607272e-006
1.100000000000000e+000	2.597492e-007	1.223838e-007	1.223838e-007	5.355680e-007	1.091096e-006	2.206106e-006	4.431247e-006	8.837575e-006
1.200000000000000e+000	3.838945e-007	1.821451e-007	1.821451e-007	7.878867e-007	1.599189e-006	3.222159e-006	6.447415e-006	1.280023e-005
1.300000000000000e+000	5.331853e-007	2.544763e-007	2.544763e-007	1.090205e-006	2.205993e-006	4.431023e-006	8.834660e-006	1.746573e-005
1.400000000000000e+000	7.073639e-007	3.393016e-007	3.393016e-007	1.441821e-006	2.909602e-006	5.827550e-006	1.157983e-005	2.280332e-005
