time	Ix(U40:VDD)
0.000000000000000e+000	-5.351189e-011
6.249999649765581e-012	7.160919e-008
1.249999929953116e-011	9.549767e-008
4.999999719812465e-011	9.550462e-008
9.999999439624929e-011	9.551339e-008
1.999999887924986e-010	9.553090e-008
3.999999775849972e-010	9.556582e-008
7.999999551699943e-010	9.563522e-008
1.599999910339989e-009	9.577208e-008
3.199999820679977e-009	9.602460e-008
6.399999641359955e-009	9.421366e-008
1.025751823931278e-008	1.421987e-008
1.344297670773753e-008	-5.940648e-007
1.760927696980892e-008	-3.131078e-006
2.111424283292352e-008	-7.832222e-006
2.503601784872005e-008	-1.680945e-005
2.837710588503867e-008	-2.808923e-005
3.236050711864487e-008	-4.595725e-005
3.561802264118154e-008	-6.414775e-005
3.980598510250094e-008	-9.181964e-005
4.312238216729312e-008	-1.167940e-004
4.755155097519320e-008	-1.538397e-004
5.113231256870734e-008	-1.863222e-004
5.592655617411556e-008	-2.328563e-004
6.055270234436220e-008	-2.800651e-004
6.491732608942874e-008	-3.263757e-004
7.018745392920014e-008	-3.838174e-004
7.510705859361615e-008	-4.381950e-004
8.104106667320399e-008	-5.035985e-004
8.738595213976354e-008	-5.709841e-004
1.000000000000000e-007	-6.990752e-004
1.007476163971773e-007	-6.975533e-004
1.022428491915320e-007	-6.959229e-004
1.052333147802413e-007	-6.952676e-004
1.093625114988561e-007	-6.952879e-004
1.138854844259793e-007	-6.952817e-004
1.229314302802257e-007	-6.952852e-004
1.410233219887184e-007	-6.952842e-004
3.814817853392696e-007	-6.952845e-004
5.047286420329275e-006	-6.952845e-004
5.100000000000000e-006	-6.952600e-004
5.100642067609113e-006	-6.947992e-004
5.101926202827340e-006	-6.939424e-004
5.104494473263791e-006	-6.924340e-004
5.109631014136694e-006	-6.897678e-004
5.115087361850669e-006	-6.875349e-004
5.119172707386368e-006	-6.866301e-004
5.123305751262816e-006	-6.863605e-004
5.127400736300862e-006	-6.862972e-004
5.130710504474670e-006	-6.862870e-004
5.135085617555036e-006	-6.862939e-004
5.143835843715769e-006	-6.862918e-004
5.164999095357070e-006	-6.862914e-004
5.172324693996744e-006	-6.862913e-004
5.186826270555049e-006	-6.862904e-004
5.189781206223842e-006	-6.862911e-004
5.194090128662414e-006	-6.862907e-004
5.200000000000000e-006	-6.862890e-004
5.200467052408989e-006	-6.862797e-004
5.201401157226966e-006	-6.862739e-004
5.203269366862920e-006	-6.862720e-004
1.000000000000000e-005	-6.862716e-004
1.000046074312784e-005	-6.862615e-004
1.000138222938352e-005	-6.862549e-004
1.000322520189487e-005	-6.862528e-004
1.000691114691758e-005	-6.862521e-004
1.001428303696300e-005	-6.862520e-004
1.002597359955466e-005	-6.862516e-004
1.003888568817444e-005	-6.862513e-004
1.005814417339359e-005	-6.862509e-004
1.007199263107937e-005	-6.862506e-004
1.007619417089010e-005	-6.862513e-004
1.007973666322979e-005	-6.864335e-004
1.008413229603150e-005	-6.873471e-004
1.008829944086348e-005	-6.890462e-004
1.009251967848268e-005	-6.913073e-004
1.009560258364300e-005	-6.930826e-004
1.010000000000000e-005	-6.956336e-004
1.010043974163570e-005	-6.951266e-004
1.010131922490710e-005	-6.942861e-004
1.010307819144990e-005	-6.931000e-004
1.010659612453551e-005	-6.912160e-004
1.011223416552299e-005	-6.885981e-004
1.012303235400923e-005	-6.849807e-004
1.012824910978984e-005	-6.842208e-004
1.013441041440970e-005	-6.840762e-004
1.013846551228705e-005	-6.840646e-004
1.014313017482199e-005	-6.840760e-004
1.015245949989187e-005	-6.840707e-004
1.017111815003164e-005	-6.840710e-004
1.018629627177528e-005	-6.840705e-004
1.020000000000000e-005	-6.840825e-004
1.020049874583150e-005	-6.840635e-004
1.020149623749450e-005	-6.840507e-004
1.020349122082051e-005	-6.840487e-004
1.504140324582716e-005	-6.840487e-004
1.510000000000000e-005	-6.840486e-004
1.510069613085893e-005	-6.834198e-004
1.510208839257677e-005	-6.822517e-004
1.510487291601247e-005	-6.801441e-004
1.511044196288386e-005	-6.764249e-004
1.511971837324713e-005	-6.717268e-004
1.512457965588913e-005	-6.705939e-004
1.513060113143755e-005	-6.703818e-004
1.513482484562605e-005	-6.703697e-004
1.513951200634307e-005	-6.703722e-004
1.514888632777710e-005	-6.703713e-004
1.516763497064517e-005	-6.703710e-004
1.518340746419862e-005	-6.703695e-004
1.518569843512620e-005	-6.703699e-004
1.519028037698136e-005	-6.703688e-004
1.519194759490635e-005	-6.703702e-004
